,CASE_NUMBER,CASE_STATUS,DECISION_DATE,SOC_TITLE,EMPLOYER_NAME,WORKSITE_CITY,WORKSITE_STATE,PREVAILING_WAGE,state_name,popullation
1700000,I-200-20345-951656,Certified,2020-12-17,"Electronics Engineers, Except Computer","Samsung Electronics America, Inc.",Issaquah,California,106600.0,Washington,7785786.0
1700001,I-200-20345-948963,Certified,2020-12-17,Management Analysts,"Carmeuse Lime & Stone, Inc.",Pittsburgh,California,83242.0,Pennsylvania,12972008.0
1700002,I-200-20346-951851,Certified,2020-12-17,Computer Network Architects,"Juniper Networks (Us), Inc.",Sunnyvale,California,122658.0,California,39029342.0
1700003,I-200-20345-948418,Certified,2020-12-17,Computer Systems Analysts,Ibm India Private Limited,Newark,California,92269.0,New Jersey,9261699.0
1700004,I-200-20345-948549,Certified,2020-12-17,Accountants And Auditors,Ernst & Young U.s. Llp,Dallas,California,68120.0,Texas,30029572.0
1700005,I-200-20345-950706,Certified,2020-12-17,"Software Developers, Applications","Rackspace Us, Inc.",Blacksburg,California,92518.0,Virginia,8683619.0
1700006,I-200-20345-950818,Certified,2020-12-17,Information Security Analysts,Emc Corporation,North Attleboro,California,95389.0,Massachusetts,6981974.0
1700007,I-200-20345-949435,Certified,2020-12-17,"Software Developers, Applications",Epam Systems Inc.,Weehawken,California,100526.0,New Jersey,9261699.0
1700008,I-200-20345-949065,Certified,2020-12-17,"Software Developers, Applications","Wal-Mart Associates, Inc.",Bentonville,California,104437.0,Arkansas,3045637.0
1700009,I-200-20345-949822,Certified,2020-12-17,"Software Developers, Applications","Accuity, Inc.",Kennesaw,California,103806.0,Georgia,10912876.0
1700010,I-200-20345-950622,Certified,2020-12-17,"Software Developers, Applications","Optum Services, Inc.",Basking Ridge,California,122221.0,New Jersey,9261699.0
1700011,I-200-20345-948719,Certified,2020-12-17,"Software Developers, Applications","Capital One Services, Llc",Richmond,California,102107.0,Virginia,8683619.0
1700012,I-200-20345-951755,Certified,2020-12-17,"Software Developers, Applications",Oncore Consulting Llc,Sacramento,California,97677.0,California,39029342.0
1700013,I-200-20345-950179,Certified,2020-12-17,Mechanical Engineers,General Motors Company,Warren,California,97261.0,Michigan,10034113.0
1700014,I-200-20346-952038,Certified,2020-12-17,"Software Developers, Applications","Expedia, Inc.",Seattle,California,155106.0,Washington,7785786.0
1700015,I-200-20346-952010,Certified,2020-12-17,"Software Developers, Applications","Blue Cross And Blue Shield Of Florida, Inc.",Jacksonville,California,98390.0,Florida,22244823.0
1700016,I-200-20345-949145,Certified,2020-12-17,Computer Systems Engineers/Architects,"Sedgwick Claims Management Services, Inc.",Memphis,California,88400.0,Tennessee,7051339.0
1700017,I-200-20345-951056,Certified,2020-12-17,"Software Developers, Applications",Cgi Technologies And Solutions Inc.,Greenville,California,76336.0,South Carolina,5282634.0
1700018,I-200-20345-951596,Certified,2020-12-17,"Software Developers, Applications",Virsec Systems Inc.,San Jose,California,145725.0,California,39029342.0
1700019,I-200-20345-950631,Certified,2020-12-17,Computer Systems Analysts,"Ntt Data, Inc.",Boston,California,99674.0,Massachusetts,6981974.0
1700020,I-200-20345-948958,Certified,2020-12-17,Computer And Information Systems Managers,"Qvc, Inc",West Chester,California,182915.0,Pennsylvania,12972008.0
1700021,I-200-20345-951606,Certified,2020-12-17,Biomedical Engineers,"The Leland Stanford, Jr University",Stanford,California,59226.0,California,39029342.0
1700022,I-200-20345-950839,Certified,2020-12-17,"Software Developers, Applications","Farmers Group, Inc.",Woodland Hills,California,121160.0,California,39029342.0
1700023,I-200-20345-949156,Certified,2020-12-17,"Software Developers, Systems Software","Einfochips, Inc.",Bedford,California,96242.0,Massachusetts,6981974.0
1700024,I-200-20345-949082,Certified,2020-12-17,"Software Developers, Applications",Advent Software Inc.,Jacksonville,California,93496.0,Florida,22244823.0
1700025,I-200-20345-948777,Certified,2020-12-17,"Software Developers, Applications",Dataonez Llc,Washington,California,97406.0,District of Columbia,671803.0
1700026,I-200-20345-949199,Certified,2020-12-17,Operations Research Analysts,Deloitte Consulting Llp,Princeton,California,112632.0,New Jersey,9261699.0
1700027,I-200-20345-950232,Certified,2020-12-17,"Software Developers, Applications","American Express Travel Related Services Company, Inc.",Phoenix,California,118602.0,Arizona,7359197.0
1700028,I-200-20345-949491,Certified,2020-12-17,Operations Research Analysts,"Amazon Data Services, Inc.",Seattle,California,72883.0,Washington,7785786.0
1700029,I-200-20345-950830,Certified,2020-12-17,"Software Developers, Applications",Zoox Inc.,Foster City,California,120931.0,California,39029342.0
1700030,I-200-20346-952126,Certified,2020-12-17,"Software Developers, Applications",Elegant Enterprise-Wide Solutions Inc,Falls Church,California,118102.0,Virginia,8683619.0
1700031,I-200-20346-952151,Certified,2020-12-17,Market Research Analysts And Marketing Specialists,Wadco Business Solutions Pvt. Ltd.,Chicago,California,52021.0,Illinois,12582032.0
1700032,I-200-20345-949864,Certified,2020-12-17,Operations Research Analysts,"Mynd Management, Inc.",Oakland,California,95493.0,California,39029342.0
1700033,I-200-20345-948499,Certified,2020-12-17,Information Technology Project Managers,International Business Machines Corporation,Newark,California,91374.0,New Jersey,9261699.0
1700034,I-200-20345-948617,Certified,2020-12-17,"Software Developers, Applications","Wells Fargo Bank, N.a.",New York,California,143936.0,New York,19677151.0
1700035,I-200-20345-950534,Certified,2020-12-17,"Software Developers, Systems Software","Comcast Cable Communications, Llc",Reston,California,76690.0,Virginia,8683619.0
1700036,I-200-20345-949956,Certified,2020-12-17,"Software Developers, Applications","Zale Delaware, Inc.",Akron,California,87818.0,Ohio,11756058.0
1700037,I-200-20345-949603,Certified,2020-12-17,Architectural And Engineering Managers,"John Zink Company, Llc",Tulsa,California,104000.0,Oklahoma,4019800.0
1700038,I-200-20345-950540,Certified,2020-12-17,"Software Developers, Applications",Amazon.com Services Llc,Seattle,California,138319.0,Washington,7785786.0
1700039,I-200-20345-950344,Certified,2020-12-17,Operations Research Analysts,"United Healthcare Services, Inc.",Minnetonka,California,92893.0,Minnesota,5717184.0
1700040,I-200-20346-952308,Certified,2020-12-17,Computer Systems Analysts,Ernst & Young U.s. Llp,Chicago,California,73882.0,Illinois,12582032.0
1700041,I-200-20345-951012,Certified,2020-12-17,"Software Developers, Applications",Deloitte Consulting Llp,Sacramento,California,97677.0,California,39029342.0
1700042,I-200-20345-948580,Certified,2020-12-17,"Software Developers, Applications",Code Gravity Llc,Dallas,California,93558.0,Texas,30029572.0
1700043,I-200-20345-950449,Certified,2020-12-17,Statisticians,"Syneos Health, Llc",Prosper,California,101504.0,Texas,30029572.0
1700044,I-200-20346-951971,Certified,2020-12-17,Lawyers,"Juan Dekruyff, Pllc",Austin,California,72987.0,Texas,30029572.0
1700045,I-200-20345-951248,Certified,2020-12-17,Molecular And Cellular Biologists,Trustees Of The University Of Pennsylvania,Philadelphia,California,55307.0,Pennsylvania,12972008.0
1700046,I-200-20345-950291,Certified,2020-12-17,"Software Developers, Applications","Optum Services, Inc.",Eden Prairie,California,122741.0,Minnesota,5717184.0
1700047,I-200-20345-951023,Certified,2020-12-17,"Software Developers, Applications",Deloitte Consulting Llp,Chicago,California,104624.0,Illinois,12582032.0
1700048,I-200-20346-952057,Certified,2020-12-17,"Software Developers, Systems Software","Cisco Systems, Inc.",San Jose,California,145725.0,California,39029342.0
1700049,I-200-20345-950435,Certified,2020-12-17,Mechanical Engineers,Ford Motor Company,Dearborn,California,67850.0,Michigan,10034113.0
1700050,I-200-20345-948357,Certified,2020-12-17,Information Security Analysts,Ernst & Young U.s. Llp,San Francisco,California,122574.0,California,39029342.0
1700051,I-200-20345-951623,Certified,2020-12-17,"Software Developers, Systems Software","Lord, Abbett & Co., Llc",Jersey City,California,122221.0,New Jersey,9261699.0
1700052,I-200-20345-948430,Certified,2020-12-17,Information Technology Project Managers,International Business Machines Corporation,Sandy Springs,California,114899.0,Georgia,10912876.0
1700053,I-200-20345-948645,Certified,2020-12-17,"Software Developers, Applications",Microsoft Corporation,Redmond,California,92102.0,Washington,7785786.0
1700054,I-200-20345-951341,Certified,2020-12-17,"Software Developers, Applications","Tesla, Inc.",San Diego,California,117021.0,California,39029342.0
1700055,I-200-20346-951866,Certified,2020-12-17,Accountants And Auditors,"Mccoy Foat & Company, Cpa's, P.c.",West Linn,California,63461.0,Oregon,4240137.0
1700056,I-200-20346-952080,Certified,2020-12-17,Medical And Clinical Laboratory Technologists,"Pasco-Pinellas Hillsborough Community Health System, Inc.",Wesley Chapel,California,49483.0,Florida,22244823.0
1700057,I-200-20345-949855,Certified,2020-12-17,"Software Developers, Applications","Paypal, Inc.",San Jose,California,145725.0,California,39029342.0
1700058,I-200-20345-949358,Certified,2020-12-17,Biological Technicians,Memorial Sloan Kettering Cancer Center,New York,California,52062.0,New York,19677151.0
1700059,I-200-20345-948776,Certified,2020-12-17,"Medical Scientists, Except Epidemiologists",Mayo Clinic,Rochester,California,46634.0,Minnesota,5717184.0
1700060,I-200-20345-950040,Certified,2020-12-17,Information Technology Project Managers,World Fuel Services Corporation,Miami,California,98946.0,Florida,22244823.0
1700061,I-200-20345-950707,Certified,2020-12-17,Information Technology Project Managers,Ibm India Private Limited,Salisbury,California,93413.0,North Carolina,10698973.0
1700062,I-200-20345-948665,Certified,2020-12-17,"Software Developers, Applications",Microsoft Corporation,Redmond,California,92102.0,Washington,7785786.0
1700063,I-200-20345-948555,Certified,2020-12-17,Statisticians,"Grubhub Holdings, Inc.",Chicago,California,79435.0,Illinois,12582032.0
1700064,I-200-20345-950168,Certified,2020-12-17,"Architects, Except Landscape And Naval",Kohn Pedersen Fox Associates Pc,New York,California,62609.0,New York,19677151.0
1700065,I-200-20345-950407,Certified,2020-12-17,"Software Developers, Applications","Nextrow, Inc.",Schaumburg,California,104624.0,Illinois,12582032.0
1700066,I-200-20345-949955,Certified,2020-12-17,"Software Developers, Applications",Newquest Llc,Nashville,California,95368.0,Tennessee,7051339.0
1700067,I-200-20345-950309,Certified,2020-12-17,Molecular And Cellular Biologists,Michigan State University,East Lansing,California,48485.0,Michigan,10034113.0
1700068,I-200-20345-948455,Certified,2020-12-17,Computer And Information Research Scientists,Microsoft Corporation,San Francisco,California,142147.0,California,39029342.0
1700069,I-200-20345-951788,Certified,2020-12-17,"Software Developers, Applications","Fisher Asset Management, Llc",Plano,California,76752.0,Texas,30029572.0
1700070,I-200-20345-949393,Certified,2020-12-17,Management Analysts,"Mckinsey & Company, Inc. United States",Stamford,California,95389.0,Connecticut,3626205.0
1700071,I-200-20346-951839,Certified,2020-12-17,Physicists,University Of Illinois,Urbana,California,53498.0,Illinois,12582032.0
1700072,I-200-20345-948496,Certified,2020-12-17,"Software Developers, Applications",Microsoft Corporation,Redmond,California,92102.0,Washington,7785786.0
1700073,I-200-20345-951170,Certified,2020-12-17,"Software Developers, Applications","Bluecross Blueshield Of Tennessee, Inc.",Chattanooga,California,108451.0,Tennessee,7051339.0
1700074,I-200-20345-949210,Certified,2020-12-17,"Software Developers, Applications","National Grid Usa Service Company, Inc.",Waltham,California,115939.0,Massachusetts,6981974.0
1700075,I-200-20346-952029,Certified,2020-12-17,Financial Managers,"Heracles Holdings, Inc.",Burlingame,California,141315.0,California,39029342.0
1700076,I-200-20345-950460,Certified,2020-12-17,"Software Developers, Applications",Jpmorgan Chase & Co.,Lewisville,California,114946.0,Texas,30029572.0
1700077,I-200-20345-950784,Certified,2020-12-17,"Software Developers, Applications","Amazech Solutions, Llc",Folsom,California,97677.0,California,39029342.0
1700078,I-200-20345-950689,Certified,2020-12-17,Database Administrators,Db Usa Core Corporation,Jacksonville,California,89461.0,Florida,22244823.0
1700079,I-200-20345-948739,Certified,2020-12-17,"Software Developers, Applications",Microsoft Corporation,Redmond,California,92102.0,Washington,7785786.0
1700080,I-200-20345-951745,Certified,2020-12-17,"Software Developers, Systems Software","Rivian Automotive, Llc",Palo Alto,California,120578.0,California,39029342.0
1700081,I-200-20346-952067,Certified,2020-12-17,Computer Systems Engineers/Architects,"Cisco Systems, Inc.",Richardson,California,93538.0,Texas,30029572.0
1700082,I-200-20345-950558,Certified,2020-12-17,Accountants And Auditors,Napa Consulting,Napa,California,67662.0,California,39029342.0
1700083,I-200-20345-951458,Certified,2020-12-17,Industrial Engineers,Cummins Inc.,Columbus,California,76107.0,Indiana,6833037.0
1700084,I-200-20345-951165,Certified,2020-12-17,"Software Developers, Applications","Homesite Group, Inc.",Boston,California,115939.0,Massachusetts,6981974.0
1700085,I-200-20345-949473,Certified,2020-12-17,"Software Developers, Systems Software","Vimeo, Inc.",New York,California,122221.0,New York,19677151.0
1700086,I-200-20346-951965,Certified,2020-12-17,Database Architects,"Express, Llc",Columbus,California,90002.0,Ohio,11756058.0
1700087,I-200-20345-950992,Certified,2020-12-17,"Economics Teachers, Postsecondary",Purdue University,West Lafayette,California,61560.0,Indiana,6833037.0
1700088,I-200-20345-951301,Certified,2020-12-17,"Software Developers, Systems Software","Tesla, Inc.",Palo Alto,California,151971.0,California,39029342.0
