,CASE_NUMBER,CASE_STATUS,DECISION_DATE,SOC_TITLE,EMPLOYER_NAME,WORKSITE_CITY,WORKSITE_STATE,PREVAILING_WAGE,state_name,popullation
2400000,I-200-20344-943608,Certified,2020-12-16,"Software Developers, Applications","Cnet Global Solutions, Inc",Richardson,TX,93558.0,Texas,30029572.0
2400001,I-200-20344-943998,Certified,2020-12-16,"Software Developers, Applications","Microexcel, Inc",Secaucus,NJ,143936.0,New Jersey,9261699.0
2400002,I-200-20344-944377,Certified,2020-12-16,"Electronics Engineers, Except Computer","Qualcomm Technologies, Inc.",San Diego,CA,117235.0,California,39029342.0
2400003,I-200-20344-943892,Certified,2020-12-16,"Software Developers, Systems Software","Qualcomm Innovation Center, Inc.",San Diego,CA,117235.0,California,39029342.0
2400004,I-200-20344-943065,Certified,2020-12-16,"Software Developers, Applications","Quest Global Services-N.a., Inc.",Erie,PA,63274.0,Pennsylvania,12972008.0
2400005,I-200-20345-947614,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Stamford,CT,94411.0,Connecticut,3626205.0
2400006,I-200-20344-943372,Certified,2020-12-16,"Software Developers, Applications",Wissen It Inc,Annapolis,MD,94037.0,Maryland,6164660.0
2400007,I-200-20344-943591,Certified,2020-12-16,"Software Developers, Applications","Mastech Digital Systems, Inc.",Austin,TX,106080.0,Texas,30029572.0
2400008,I-200-20344-943950,Certified,2020-12-16,"Software Developers, Applications",Xavient Digital Llc,Maryland Heights,MO,83637.0,Missouri,6177957.0
2400009,I-200-20344-943379,Certified,2020-12-16,"Software Developers, Applications","Itech Us, Inc.",Ft Worth,TX,93558.0,Texas,30029572.0
2400010,I-200-20344-942600,Certified,2020-12-16,Mechanical Engineers,"Alten Technology Usa, Inc.",Raymond,OH,85446.0,Ohio,11756058.0
2400011,I-200-20344-942923,Certified,2020-12-16,Network And Computer Systems Administrators,Xavient Digital Llc,Englewood,CO,77667.0,Colorado,5839926.0
2400012,I-200-20344-947121,Certified,2020-12-16,Computer Systems Engineers/Architects,Virtusa Corporation,Wilmington,DE,74090.0,Delaware,1018396.0
2400013,I-200-20344-943148,Certified,2020-12-16,"Software Developers, Applications","Mastech Digital Infotech, Inc.",Atlanta,GA,85842.0,Georgia,10912876.0
2400014,I-200-20344-945494,Certified,2020-12-16,"Software Developers, Applications",Larsen & Toubro Infotech Limited,Tampa,FL,81806.0,Florida,22244823.0
2400015,I-200-20344-943017,Certified,2020-12-16,"Software Developers, Systems Software","Pyramid Technology Solutions, Inc",Irving,TX,93558.0,Texas,30029572.0
2400016,I-200-20344-943708,Certified,2020-12-16,"Software Developers, Applications",Lead It Corporation,Plano,TX,93558.0,Texas,30029572.0
2400017,I-200-20344-944103,Certified,2020-12-16,Computer Systems Analysts,3k Technologies Llc,Erlanger,KY,95014.0,Kentucky,4512310.0
2400018,I-200-20345-947716,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Los Angeles,CA,87173.0,California,39029342.0
2400019,I-200-20344-946933,Certified,2020-12-16,Computer Systems Engineers/Architects,E-Giants Technologies Llc,Raleigh,NC,75982.0,North Carolina,10698973.0
2400020,I-200-20344-946757,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Secane,PA,104749.0,Pennsylvania,12972008.0
2400021,I-200-20344-943909,Certified,2020-12-16,"Software Developers, Applications","Compunnel Software Group, Inc",Charlotte,NC,85488.0,North Carolina,10698973.0
2400022,I-200-20344-943330,Certified,2020-12-16,Database Administrators,Appridat Solutions Llc,Reston,VA,86486.0,Virginia,8683619.0
2400023,I-200-20345-947752,Certified,2020-12-16,"Software Developers, Applications","Erp Analysts, Inc.",New York,NY,100526.0,New York,19677151.0
2400024,I-200-20344-943721,Certified,2020-12-16,Mechanical Engineers,Racar Engineering Llc,Auburn Hills,MI,97261.0,Michigan,10034113.0
2400025,I-200-20344-943050,Certified,2020-12-16,"Software Developers, Applications","Vlink, Inc.",Bloomfield,CT,101296.0,Connecticut,3626205.0
2400026,I-200-20344-945349,Certified,2020-12-16,"Software Developers, Applications","Triveni Group, Llp",Rutherford,NJ,100526.0,New Jersey,9261699.0
2400027,I-200-20344-945670,Certified,2020-12-16,"Software Developers, Systems Software",Zen3 Infosolutions America Inc,Redmond,WA,113110.0,Washington,7785786.0
2400028,I-200-20344-942848,Certified,2020-12-16,Industrial Engineers,Racar Engineering Llc,Auburn Hills,MI,94432.0,Michigan,10034113.0
2400029,I-200-20344-945186,Certified,2020-12-16,Human Resources Managers,Sun Cloud Llc,Alpharetta,GA,106995.0,Georgia,10912876.0
2400030,I-200-20344-944869,Certified,2020-12-16,"Software Developers, Applications","Avani Technology Solutions, Inc.",Estero,FL,86174.0,Florida,22244823.0
2400031,I-200-20344-942717,Certified,2020-12-16,"Software Developers, Systems Software","Columbus Technology Solutions, Inc.",Columbus,OH,83075.0,Ohio,11756058.0
2400032,I-200-20344-945201,Certified,2020-12-16,"Software Developers, Applications",Prime Consulting Llc,Fort Worth,TX,93558.0,Texas,30029572.0
2400033,I-200-20345-948114,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Bloomington,IL,86986.0,Illinois,12582032.0
2400034,I-200-20344-943267,Certified,2020-12-16,"Software Developers, Applications","Sun-It Solutions, Inc.",San Antonio,TX,91562.0,Texas,30029572.0
2400035,I-200-20344-943449,Certified,2020-12-16,Computer And Information Systems Managers,"Vdrive It Solutions, Inc",Richardson,TX,111238.0,Texas,30029572.0
2400036,I-200-20344-946304,Certified,2020-12-16,Operations Research Analysts,"System Soft Technologies, Llc",Charlotte,NC,76024.0,North Carolina,10698973.0
2400037,I-200-20345-947958,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Irving,TX,80475.0,Texas,30029572.0
2400038,I-200-20345-948066,Certified,2020-12-16,"Software Developers, Applications",Byteware Inc,Reston,VA,118102.0,Virginia,8683619.0
2400039,I-200-20345-947524,Certified,2020-12-16,"Software Developers, Applications",Idexcel Inc,Austin,TX,106080.0,Texas,30029572.0
2400040,I-200-20344-943400,Certified,2020-12-16,"Software Developers, Applications","Thought Byte, Inc.",Westlake,TX,93558.0,Texas,30029572.0
2400041,I-200-20344-943578,Certified,2020-12-16,"Software Developers, Applications",Iris Software Inc,Irving,TX,93558.0,Texas,30029572.0
2400042,I-200-20344-945679,Certified,2020-12-16,"Software Developers, Applications","Jade Global, Inc.",North Wales,PA,105851.0,Pennsylvania,12972008.0
2400043,I-200-20345-947919,Certified,2020-12-16,Computer Systems Engineers/Architects,Cognizant Technology Solutions Us Corp,Groton,CT,67330.0,Connecticut,3626205.0
2400044,I-200-20344-943863,Certified,2020-12-16,"Software Developers, Applications",Skillsight Inc,Woodbury,MN,88712.0,Minnesota,5717184.0
2400045,I-200-20344-944830,Certified,2020-12-16,"Software Developers, Applications",Itamerica Inc,San  Antonio,TX,91562.0,Texas,30029572.0
2400046,I-200-20344-944832,Certified,2020-12-16,"Software Developers, Applications",Itamerica Inc,Houston,TX,90022.0,Texas,30029572.0
2400047,I-200-20344-945812,Certified,2020-12-16,"Software Developers, Applications",Ikon-Tech Services Llc,Phoenix,AZ,83637.0,Arizona,7359197.0
2400048,I-200-20344-945491,Certified,2020-12-16,"Software Developers, Applications",Sourceinfo Tech Inc.,Maryland Heights,MO,83637.0,Missouri,6177957.0
2400049,I-200-20344-944242,Certified,2020-12-16,Biomedical Engineers,8k Miles Software Services Inc,Tarrytown,NY,92934.0,New York,19677151.0
2400050,I-200-20345-947580,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Stamford,CT,94411.0,Connecticut,3626205.0
2400051,I-200-20344-947248,Certified,2020-12-16,"Software Developers, Applications",Rjt Compuquest Inc. Dba Apolis,New Jersey,NJ,89773.0,New Jersey,9261699.0
2400052,I-200-20344-946398,Certified,2020-12-16,Computer Systems Engineers/Architects,Cognizant Technology Solutions Us Corp,Groton,CT,67330.0,Connecticut,3626205.0
2400053,I-200-20344-946750,Certified,2020-12-16,"Software Developers, Applications","Pinion Services, Inc.",Albany,NY,79643.0,New York,19677151.0
2400054,I-200-20344-942784,Certified,2020-12-16,"Software Developers, Applications",Erp Cloud Technologies Llc,Coraopolis,PA,80142.0,Pennsylvania,12972008.0
2400055,I-200-20344-944682,Certified,2020-12-16,"Software Developers, Applications",Iconsoft Inc.,Sandiego,CA,98592.0,California,39029342.0
2400056,I-200-20344-944415,Certified,2020-12-16,Computer Systems Engineers/Architects,"Simeio Solutions, Llc",Jersey City,NJ,67766.0,New Jersey,9261699.0
2400057,I-200-20344-945394,Certified,2020-12-16,"Software Developers, Applications",Teckpros Llc,Baltimore,MD,94037.0,Maryland,6164660.0
2400058,I-200-20344-946722,Certified,2020-12-16,"Software Developers, Applications","V-Soft Consulting Group, Inc",Plano,TX,110344.0,Texas,30029572.0
2400059,I-200-20344-943179,Certified,2020-12-16,Validation Engineers,I3 Infotek Inc.,Pleasanton,CA,95222.0,California,39029342.0
2400060,I-200-20344-945674,Certified,2020-12-16,"Software Developers, Applications","Dataformix Technologies,Inc",Burbank,CA,99632.0,California,39029342.0
2400061,I-200-20345-947611,Certified,2020-12-16,"Software Developers, Applications","Prokarma, Inc.",Denver,CO,110677.0,Colorado,5839926.0
2400062,I-200-20344-943908,Certified,2020-12-16,"Software Developers, Applications",Caprus It Inc,Washington,DC,97406.0,District of Columbia,671803.0
2400063,I-200-20344-947190,Certified,2020-12-16,Validation Engineers,"Unicon Pharma, Inc.",Rahway,NJ,80725.0,New Jersey,9261699.0
2400064,I-200-20344-943187,Certified,2020-12-16,Software Quality Assurance Engineers And Testers,Csi Solutions Llc,Alpharetta,GA,74006.0,Georgia,10912876.0
2400065,I-200-20344-945814,Certified,2020-12-16,"Software Developers, Applications","Cohesity, Inc.",San Jose,CA,145725.0,California,39029342.0
2400066,I-200-20344-945064,Certified,2020-12-16,Information Technology Project Managers,"Ilink Systems, Inc.",Coopersburg,PA,101275.0,Pennsylvania,12972008.0
2400067,I-200-20345-948102,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Concord,NC,98114.0,North Carolina,10698973.0
2400068,I-200-20345-947562,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Houston,TX,119538.0,Texas,30029572.0
2400069,I-200-20344-944848,Certified,2020-12-16,Sales Engineers,"Arista Networks, Inc.",Frisco,TX,158191.0,Texas,30029572.0
2400070,I-200-20344-946098,Certified,2020-12-16,"Software Developers, Applications",Averon Solutions Inc,Irving,TX,93558.0,Texas,30029572.0
2400071,I-200-20344-946858,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Peapack,NJ,92269.0,New Jersey,9261699.0
2400072,I-200-20344-946453,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Agawam,MA,73861.0,Massachusetts,6981974.0
2400073,I-200-20344-944264,Certified,2020-12-16,"Software Developers, Applications","Code Ace Solutions, Inc.",Herndon,VA,97406.0,Virginia,8683619.0
2400074,I-200-20344-944195,Certified,2020-12-16,"Software Developers, Applications",Ar Systems Inc,Naperville,IL,87838.0,Illinois,12582032.0
2400075,I-200-20344-946252,Certified,2020-12-16,Computer Systems Analysts,Ust Global Inc,Issaquah,WA,91042.0,Washington,7785786.0
2400076,I-200-20344-944088,Certified,2020-12-16,Network And Computer Systems Administrators,"Compunnel Software Group, Inc",San Antonio,TX,70304.0,Texas,30029572.0
2400077,I-200-20345-947886,Certified,2020-12-16,Business Intelligence Analysts,Fpt Usa Corp,Atlanta,GA,72600.0,Georgia,10912876.0
2400078,I-200-20345-947734,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Los Angeles,CA,87173.0,California,39029342.0
2400079,I-200-20344-943199,Certified,2020-12-16,"Software Developers, Applications",Headstream Inc,Alpharetta,GA,85842.0,Georgia,10912876.0
2400080,I-200-20345-947627,Certified,2020-12-16,Computer And Information Systems Managers,"Governmentjobs.com, Inc.",El Segundo,CA,201074.0,California,39029342.0
2400081,I-200-20344-946632,Certified,2020-12-16,Computer Network Architects,"System Soft Technologies, Llc",Herndon,VA,107786.0,Virginia,8683619.0
2400082,I-200-20344-944550,Certified,2020-12-16,"Software Developers, Applications",Savin Technologies Inc,Tallahassee,FL,86653.0,Florida,22244823.0
2400083,I-200-20344-944219,Certified,2020-12-16,"Business Operations Specialists, All Other","Compunnel Software Group, Inc",Chandler,AZ,73778.0,Arizona,7359197.0
2400084,I-200-20344-947006,Certified,2020-12-16,Industrial Engineers,"Cerebral Technologies, Inc.",Bothell,WA,96262.0,Washington,7785786.0
2400085,I-200-20344-947086,Certified,2020-12-16,Electrical Engineers,"Ler Techforce, Llc",Columbus,IN,85446.0,Indiana,6833037.0
2400086,I-200-20344-947372,Certified,2020-12-16,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,Zionsville,IN,84386.0,Indiana,6833037.0
