CASE_NUMBER,CASE_STATUS,DECISION_DATE,SOC_TITLE,EMPLOYER_NAME,EMPLOYER_CITY,EMPLOYER_STATE,WORKSITE_CITY,WORKSITE_STATE,PREVAILING_WAGE
I-200-20009-242348,Certified,2020-01-16,Architectural And Engineering Managers,"Vmware, Inc.",Palo Alto,CA,Palo Alto,CA,165027.0
I-200-21245-562592,Certified,2021-09-10,"Software Developers, Applications","Uber Technologies, Inc.",San Francisco,CA,Seattle,WA,119350.0
I-200-20087-439814,Certified,2020-04-03,Computer Systems Analysts,Ibm Corporation,Durham,NC,Overland Park,KS,65978.0
I-200-19277-072782,Certified,2019-10-11,Market Research Analysts And Marketing Specialists,"Uber Technologies, Inc.",San Francisco,CA,San Francisco,CA,69181.0
I-200-21123-283134,Certified,2021-05-10,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,College Station,TX,Farmington Hills,MI,75213.0
I-200-22077-992165,Certified,2022-03-25,Business Intelligence Analysts,"Whole Foods Market Services, Inc.",Austin,TX,Austin,TX,90147.0
I-200-19025-536310,Certified,2019-01-31,Computer Systems Analyst,Cognizant Technology Solutions Us Corp,College Station,TX,Rocky Hill,CT,94390.0
I-200-22137-182379,Certified,2022-05-24,Database Administrators,Snowflake Inc.,San Mateo,CA,Plano,TX,122554.0
I-200-23069-839922,Certified,2023-03-17,Information Security Engineers,"Corl Technologies, Llc",Chamblee,GA,Hicksville,NY,50315.0
I-200-19087-287211,Certified,2019-04-03,Financial Managers,Ib Centre Inc,Hallandale Beach,FL,Hallendale Beach,FL,107120.0
I-200-22312-574381,Certified,2022-11-16,Computer And Information Systems Managers,Deloitte Consulting Llp,Philadelphia,PA,Irvine,CA,139360.0
I-200-21102-215298,Certified,2021-04-19,"Physicians And Surgeons, All Other",Montefiore Medical Center,Bronx,NY,Bronx,NY,59946.0
I-200-19066-043561,Certified,2019-03-15,"Computer Occupations, All Other",Tata Consultancy Services Limited,Rockville,MD,Mentor,OH,58843.0
I-200-19063-040032,Certified,2019-03-11,"Computer Occupations, All Other",Jpmorgan Chase & Co.,Chicago,IL,Columbus,OH,63003.0
I-200-22181-325924,Certified,2022-07-08,Software Quality Assurance Engineers And Testers,Ibm Corporation,Durham,NC,Dallas,TX,76856.0
I-200-22167-286606,Certified,2022-06-24,Microbiologists,"Cato Research, Llc",Durham,NC,Durham,NC,69056.0
I-200-19010-216602,Certified,2019-01-16,"Computer Occupations, All Other","Erp Analysts, Inc.",Dublin,OH,Richmond,VA,89149.0
I-200-22243-448297,Certified,2022-09-08,Industrial Production Managers,Amazon.com Services Llc,Arlington,VA,Detroit,MI,97885.0
I-200-20003-232253,Certified,2020-01-10,Computer Systems Engineers/Architects,Google Llc,Mountain View,CA,Mountain View,CA,86858.0
I-200-19168-836349,Certified,2019-06-21,Mechanical Engineers,"Setty & Associates, Ltd.",Fairfax,VA,Fairfax,VA,70990.0
I-200-21294-660033,Withdrawn,2021-10-21,"Software Developers, Applications",Caremark Llc,Woonsocket,RI,Scottsdale,AZ,123906.0
I-200-20154-618790,Certified,2020-06-09,Computer Systems Engineers/Architects,"Mindpros, Inc.",Baltimore,MD,Ashburn,VA,97094.0
I-200-21112-249527,Certified,2021-04-29,"Software Developers, Applications","Koch Business Solutions, Lp",Wichita,KS,The Colony,TX,93558.0
I-200-20135-571042,Certified,2020-05-21,Data Warehousing Specialists,Tata Consultancy Services Limited,Rockville,MD,Bentonville,AR,69930.0
I-200-22055-928033,Certified,2022-03-03,"Software Developers, Applications","Feedzai, Inc.",San Mateo,CA,Tampa,FL,120765.0
I-200-21085-176377,Certified,2021-04-02,Computer Systems Analysts,Ibm India Private Limited,Durham,NC,Atlanta,GA,77730.0
I-200-19050-162835,Certified,2019-02-25,Computer Systems Analysts,Ernst & Young U.s. Llp,Secaucus,NJ,New York,NY,93642.0
I-200-21251-570386,Certified,2021-09-15,"Software Developers, Applications","Power Costs, Inc.",Norman,OK,Irving,TX,76898.0
I-200-23102-924526,Certified,2023-04-19,Accountants And Auditors,Deloitte & Touche Llp,Philadelphia,PA,Los Angeles,CA,54704.0
I-200-21159-377329,Certified,2021-06-15,Industrial Engineers,Intel Corporation,Santa Clara,CA,Hillsboro,OR,93704.0
I-200-21026-032985,Certified,2021-02-02,Business Intelligence Analysts,Amazon.com Services Llc,Seattle,WA,Sunnyvale,CA,137363.0
I-200-21319-706598,Certified,2021-11-22,Computer Programmers,Mars Tech Solutions Llc,Edison,NJ,Weehawken,NJ,76294.0
I-200-20023-271855,Certified,2020-01-30,Information Security Analysts,Deloitte & Touche Llp,Philadelphia,PA,Philadelphia,PA,118040.0
I-200-22313-576654,Certified,2022-11-17,Computer Systems Analysts,Cognizant Technology Solutions Us Corp,College Station,TX,Rocky Hill,CT,101358.0
I-200-19156-367821,Certified,2019-06-11,"Software Developers, Applications",Cwc International Inc.,Houston,TX,Chesterfield,MO,100880.0
I-200-21089-183105,Certified,2021-04-06,Clinical Data Managers,"Pharmapace, Inc.",San Diego,CA,La Jolla,CA,65416.0
I-200-19045-260016,Certified,2019-02-25,Computer Systems Analysts,Tata Consultancy Services Limited,Rockville,MD,Woodland Hills,CA,76773.0
I-200-19352-205671,Certified,2019-12-26,Database Administrators,Novartis Services Inc.,East Hanover,NJ,East Hanover,NJ,127982.0
I-200-19136-091611,Certified,2019-05-22,Database Administrators,"American Technology Consulting, Llc",Clive,IA,Ashburn,VA,86590.0
